日期,OT,开盘,高,低,交易量,涨跌幅
2023/7/27,16406.03 ,"16,162.16","16,408.80","16,131.64",96.51M,1.70%
2023/7/26,16131.46 ,"16,183.70","16,212.91","16,000.04",76.24M,-0.49%
2023/7/25,16211.59 ,"16,169.75","16,225.89","16,135.60",56.47M,0.13%
2023/7/24,16190.95 ,"16,126.71","16,208.76","16,121.27",51.53M,0.08%
2023/7/21,16177.22 ,"16,125.21","16,181.34","16,103.48",69.91M,-0.17%
2023/7/20,16204.22 ,"16,059.22","16,211.43","16,050.98",66.30M,0.59%
2023/7/19,16108.93 ,"16,190.00","16,240.79","16,075.17",62.95M,-0.10%
2023/7/18,16125.49 ,"16,042.03","16,140.20","16,031.07",56.77M,0.35%
2023/7/17,16068.65 ,"16,013.52","16,102.51","15,995.45",45.55M,-0.23%
2023/7/14,16105.07 ,"16,123.13","16,149.12","16,071.74",61.72M,-0.22%
2023/7/13,16141.03 ,"16,009.26","16,185.11","16,000.38",64.99M,0.74%
2023/7/12,16023.00 ,"15,842.26","16,044.28","15,806.28",72.34M,1.47%
2023/7/11,15790.34 ,"15,716.26","15,807.66","15,659.10",60.83M,0.75%
2023/7/10,15673.16 ,"15,585.34","15,722.03","15,545.33",53.39M,0.45%
2023/7/7,15603.40 ,"15,515.00","15,661.41","15,456.16",67.26M,0.48%
2023/7/6,15528.54 ,"15,816.11","15,846.25","15,495.84",80.36M,-2.57%
2023/7/5,15937.58 ,"15,930.16","15,982.96","15,901.39",66.46M,-0.63%
2023/7/4,16039.17 ,"16,082.93","16,103.95","16,023.72",42.49M,-0.26%
2023/7/3,16081.04 ,"16,187.91","16,209.29","16,070.49",52.05M,-0.41%
2023/6/30,16147.90 ,"15,989.43","16,176.55","15,978.90",85.58M,1.26%
2023/6/29,15946.72 ,"15,960.47","15,998.67","15,920.04",54.57M,-0.01%
2023/6/28,15949.00 ,"15,922.71","15,994.31","15,906.88",69.91M,0.64%
2023/6/27,15846.86 ,"15,873.73","15,895.70","15,758.13",63.27M,0.21%
2023/6/26,15813.06 ,"15,874.15","15,874.90","15,713.70",72.43M,-0.11%
2023/6/23,15829.94 ,"15,862.79","15,917.14","15,733.12",108.86M,-0.99%
2023/6/22,15988.16 ,"15,867.65","15,988.21","15,810.48",65.00M,-0.22%
2023/6/21,16023.13 ,"16,082.75","16,145.29","16,002.27",62.21M,-0.55%
2023/6/20,16111.32 ,"16,100.29","16,184.30","16,069.10",68.40M,-0.55%
2023/6/19,16201.20 ,"16,272.21","16,302.29","16,189.57",52.46M,-0.96%
