日期,OT,开盘,高,低,交易量,涨跌幅
2023/12/8,16334.37 ,"16,373.44","16,464.14","16,249.15",1.88B,-0.07%
2023/12/7,16345.89 ,"16,376.44","16,376.44","16,157.98",1.95B,-0.71%
2023/12/6,16463.26 ,"16,311.96","16,600.36","16,234.84",1.99B,0.83%
2023/12/5,16327.86 ,"16,606.54","16,606.54","16,228.52",2.68B,-1.91%
2023/12/4,16646.05 ,"16,919.08","16,941.91","16,617.03",2.48B,-1.09%
2023/12/1,16830.30 ,"17,019.17","17,038.98","16,830.30",2.43B,-1.25%
2023/11/30,17042.88 ,"16,985.18","17,068.26","16,863.05",3.01B,0.29%
2023/11/29,16993.44 ,"17,359.08","17,359.08","16,881.98",2.81B,-2.08%
2023/11/28,17354.14 ,"17,541.48","17,541.48","17,303.82",1.79B,-0.98%
2023/11/27,17525.06 ,"17,677.52","17,677.52","17,358.24",1.50B,-0.20%
2023/11/24,17559.42 ,"17,771.75","17,771.75","17,545.61",1.30B,-1.96%
2023/11/23,17910.84 ,"17,680.05","17,927.36","17,577.31",1.67B,0.99%
2023/11/22,17734.60 ,"17,736.40","17,796.86","17,650.49",1.24B,0.00%
2023/11/21,17733.89 ,"17,932.54","18,057.62","17,689.01",2.09B,-0.25%
2023/11/20,17778.07 ,"17,625.84","17,788.90","17,532.73",1.96B,1.86%
2023/11/17,17454.19 ,"17,584.32","17,631.04","17,413.46",1.95B,-2.12%
2023/11/16,17832.82 ,"18,174.69","18,174.69","17,722.86",1.88B,-1.36%
2023/11/15,18079.00 ,"17,836.65","18,102.28","17,766.22",2.91B,3.92%
2023/11/14,17396.86 ,"17,495.10","17,565.22","17,358.89",1.45B,-0.17%
2023/11/13,17426.21 ,"17,263.00","17,456.08","17,126.61",1.44B,1.30%
2023/11/10,17203.26 ,"17,350.87","17,350.87","17,177.53",1.67B,-1.76%
2023/11/9,17511.29 ,"17,553.26","17,617.27","17,457.00",1.64B,-0.33%
2023/11/8,17568.46 ,"17,650.51","17,753.59","17,537.20",2.14B,-0.58%
2023/11/7,17670.16 ,"17,850.59","17,890.63","17,658.91",1.97B,-1.65%
2023/11/6,17966.59 ,"17,913.54","18,037.94","17,899.35",2.76B,1.71%
2023/11/3,17664.12 ,"17,405.91","17,729.43","17,352.60",2.00B,2.52%
2023/11/2,17230.59 ,"17,282.39","17,459.43","17,176.01",1.80B,0.75%
2023/11/1,17101.78 ,"17,139.40","17,188.85","16,979.26",1.53B,-0.06%
2023/10/31,17112.48 ,"17,337.70","17,337.70","17,042.10",2.11B,-1.69%
2023/10/30,17406.36 ,"17,225.65","17,406.36","17,225.65",2.67B,0.04%
2023/10/27,17398.73 ,"17,160.23","17,497.72","17,078.24",2.45B,2.08%
2023/10/26,17044.61 ,"17,085.12","17,174.08","16,917.22",1.97B,-0.24%
2023/10/25,17085.33 ,"17,465.43","17,465.82","17,001.43",2.50B,0.55%
2023/10/24,16991.53 ,"17,053.15","17,139.53","16,879.66",2.12B,-1.05%
2023/10/20,17172.13 ,"17,127.26","17,309.74","17,118.07",1.99B,-0.72%
2023/10/19,17295.89 ,"17,540.46","17,540.46","17,292.36",2.27B,-2.46%
2023/10/18,17732.52 ,"17,728.25","17,831.18","17,625.89",1.94B,-0.23%
2023/10/17,17773.34 ,"17,806.23","17,815.71","17,671.99",1.73B,0.75%
2023/10/16,17640.36 ,"17,803.31","17,858.18","17,601.50",1.90B,-0.97%
2023/10/13,17813.45 ,"17,946.77","18,013.67","17,776.95",2.14B,-2.33%
2023/10/12,18238.21 ,"18,258.26","18,290.91","18,175.35",3.86B,1.93%
2023/10/11,17893.10 ,"17,956.83","18,022.45","17,889.71",2.03B,1.29%
2023/10/10,17664.73 ,"17,726.63","17,916.62","17,638.01",1.60B,0.84%
2023/10/9,17517.40 ,"17,500.37","17,633.19","17,447.76",1.22B,0.18%
2023/10/6,17485.98 ,"17,370.03","17,603.80","17,370.03",1.14B,1.58%
2023/10/5,17213.87 ,"17,249.97","17,336.43","17,197.61",1.09B,0.10%
2023/10/4,17195.84 ,"17,266.82","17,266.82","17,094.00",1.29B,-0.78%
2023/10/3,17331.22 ,"17,546.39","17,546.39","17,212.87",2.10B,-2.69%
2023/9/29,17809.66 ,"17,484.95","17,935.15","17,482.39",1.84B,2.51%
2023/9/28,17373.03 ,"17,587.08","17,627.73","17,352.83",2.00B,-1.36%
2023/9/27,17611.87 ,"17,472.11","17,655.31","17,472.11",1.57B,0.83%
2023/9/26,17466.90 ,"17,661.85","17,718.18","17,379.44",1.91B,-1.48%
2023/9/25,17729.29 ,"18,046.89","18,046.89","17,722.49",1.55B,-1.82%
2023/9/22,18057.45 ,"17,578.26","18,078.69","17,573.81",1.92B,2.28%
2023/9/21,17655.41 ,"17,795.80","17,823.82","17,623.87",2.05B,-1.29%
2023/9/20,17885.60 ,"17,939.25","17,995.38","17,833.20",1.66B,-0.62%
2023/9/19,17997.17 ,"17,942.07","18,004.74","17,832.30",1.78B,0.37%
2023/9/18,17930.55 ,"18,069.04","18,114.82","17,894.81",1.69B,-1.39%
2023/9/15,18182.89 ,"18,154.01","18,372.65","18,030.79",2.78B,0.75%
2023/9/14,18047.92 ,"18,101.96","18,173.54","17,928.63",2.01B,0.21%
2023/9/13,18009.22 ,"18,131.10","18,200.52","17,954.97",1.87B,-0.09%
2023/9/12,18025.89 ,"18,015.56","18,145.58","17,892.01",1.89B,-0.39%
2023/9/11,18096.45 ,"17,941.65","18,164.61","17,842.37",2.52B,-0.58%
2023/9/7,18202.07 ,"18,437.48","18,437.48","18,173.44",2.12B,-1.34%
2023/9/6,18449.98 ,"18,405.09","18,492.59","18,256.10",2.35B,-0.04%
2023/9/5,18456.91 ,"18,717.42","18,725.50","18,431.72",2.32B,-2.06%
2023/9/4,18844.16 ,"18,592.53","18,899.49","18,575.45",4.04B,2.51%
2023/8/31,18382.06 ,"18,580.47","18,667.18","18,312.76",4.07B,-0.55%
