日期,OT,开盘,高,低,交易量,涨跌幅
2023/9/19,7660.20 ,"7,652.94","7,682.38","7,642.36",595.49M,0.09%
2023/9/18,7652.94 ,"7,711.38","7,720.14","7,641.76",461.13M,-0.76%
2023/9/15,7711.38 ,"7,673.08","7,745.82","7,673.08",1.80B,0.50%
2023/9/14,7673.08 ,"7,525.99","7,686.96","7,525.99",740.69M,1.95%
2023/9/13,7525.99 ,"7,527.53","7,545.16","7,490.37",684.59M,-0.02%
2023/9/12,7527.53 ,"7,496.87","7,550.24","7,496.34",661.20M,0.41%
2023/9/11,7496.87 ,"7,478.19","7,549.34","7,467.35",564.85M,0.25%
2023/9/8,7478.19 ,"7,441.72","7,480.64","7,402.10",651.30M,0.49%
2023/9/7,7441.72 ,"7,426.14","7,462.18","7,385.92",453.22M,0.21%
2023/9/6,7426.14 ,"7,437.93","7,447.94","7,369.64",448.10M,-0.16%
2023/9/5,7437.93 ,"7,452.76","7,481.35","7,389.80",484.03M,-0.20%
2023/9/4,7452.76 ,"7,464.54","7,523.40","7,448.31",391.51M,-0.16%
2023/9/1,7464.54 ,"7,439.13","7,492.63","7,439.13",680.28M,0.34%
2023/8/31,7439.13 ,"7,473.67","7,500.44","7,439.13",1.14B,-0.46%
2023/8/30,7473.67 ,"7,464.99","7,509.36","7,464.73",533.76M,0.12%
2023/8/29,7464.99 ,"7,338.58","7,471.14","7,338.58",1.11B,1.72%
2023/8/25,7338.58 ,"7,333.63","7,389.40","7,326.97",363.80M,0.07%
2023/8/24,7333.63 ,"7,320.53","7,386.08","7,320.53",377.23M,0.18%
2023/8/23,7320.53 ,"7,270.76","7,348.84","7,270.76",874.76M,0.68%
2023/8/22,7270.76 ,"7,257.82","7,310.52","7,257.58",745.82M,0.18%
2023/8/21,7257.82 ,"7,262.43","7,315.97","7,250.88",469.44M,-0.06%
2023/8/18,7262.43 ,"7,310.21","7,310.21","7,215.76",571.46M,-0.65%
2023/8/17,7310.21 ,"7,356.88","7,356.96","7,305.00",438.19M,-0.63%
2023/8/16,7356.88 ,"7,389.64","7,398.20","7,338.53",686.64M,-0.44%
2023/8/15,7389.64 ,"7,507.15","7,508.58","7,369.69",463.07M,-1.57%
2023/8/14,7507.15 ,"7,524.16","7,530.25","7,476.45",1.14B,-0.23%
2023/8/11,7524.16 ,"7,618.60","7,618.60","7,507.84",487.00M,-1.24%
